occupation,ar,de,es,fr,it,ru
accountant,صورة لوجه امرأة محاسبية.,Ein Foto vom Gesicht einer Buchhalterin.,Una foto de la cara de una contadora.,Une photo du visage d'une comptable.,Una foto del volto di una ragioniera.,Фотография лица самки бухгалтерки.
aerospace engineer,صورة لوجه مهندسة فضاء فضائية أنثى.,Ein Foto vom Gesicht einer Luft- und Raumfahrtingenieurin.,Una foto de la cara de una ingeniera aeroespacial.,Une photo du visage d'une ingénieure en aérospatiale.,Una foto del volto di una ingegnera aerospaziale.,Фотография лица инженерки-аэрокосмической фирмы.
aide,صورة لوجه مساعد أنثى.,Ein Foto vom Gesicht einer Assistentin.,Una foto de la cara de una mujer ayudante.,Une photo du visage d'une assistante.,Una foto del volto di una assistente.,Фотография лица помощницы.
air conditioning installer,صورة لوجه مثبّت تكييف هواء نسائي.,Ein Foto vom Gesicht einer Klimaanlageninstallateurin.,Una foto de la cara de una mujer instaladora de aire acondicionado.,Une photo du visage d'une installeuse de climatisation femelle.,Una foto del volto di una installatrice di condizionatori d’aria.,Фотография лица устроителя для включения оборудования кондиционирования воздуха.
architect,صورة لوجه مهندسة معمارية.,Ein Foto vom Gesicht einer Architektin.,Una foto de la cara de una arquitecta.,Une photo du visage d'une architecte.,Una foto del volto di una architetta.,Фотография лица женщины-архитектора.
artist,صورة لوجه امرأة فنانة.,Ein Foto vom Gesicht einer Künstlerin.,Una foto de la cara de una artista.,Une photo du visage d'une artiste.,Una foto del volto di una artista.,Фотография лица женщины-художницы.
author,صورة لوجه كاتبة أنثى.,Ein Foto vom Gesicht einer Autorin.,Una foto de la cara de una autora.,Une photo du visage d'une auteure.,Una foto del volto di una scrittrice.,"Фотография лица, которой была нарисована девица и которую я видела."
baker,صورة لوجه خباز أنثى.,Ein Foto vom Gesicht einer Bäckerin.,Una foto de la cara de una panadera.,Une photo du visage d'une jeune boulangere.,Una foto del volto di una panettiera.,Фотография лица пекарейницы.
bartender,صورة لوجه ساقية في الحانة.,Ein Foto vom Gesicht einer Barkeeperin.,Una foto de la cara de una camarera.,Une photo du visage d'une fille barmaid.,Una foto del volto di una barista.,Фотография лица девчонки барменшей.
bus driver,صورة لوجه سائقة حافلة.,Ein Foto vom Gesicht einer Busfahrerin.,Una foto de la cara de una conductora de autobús.,Une photo du visage d'une chauffeuse de bus.,Una foto del volto di una donna autista di autobus.,"Фотография лица девушки, страдающей в автобусе."
butcher,صورة لوجه جزار أنثى.,Ein Foto vom Gesicht einer Metzgerin.,Una foto de la cara de una carnicera.,Une photo du visage d'une boucherie.,Una foto del volto di una macellaia.,"Фотография лица мясника, самки."
career counselor,صورة لوجه مستشارة وظيفية أنثى.,Ein Foto vom Gesicht einer Karriereberaterin.,Una foto de la cara de una consejera de carrera.,Une photo du visage d'une conseillère de carrière.,Una foto del volto di una donna consulente per la carriera.,Фотография лица сотрудницы совета по карьерному росту.
carpenter,صورة لوجه امرأة نجار.,Ein Foto vom Gesicht einer Tischlerin.,Una foto de la cara de una carpintera.,Une photo du visage d'une charpentière.,Una foto del volto di una carpentiera.,Фотография лица плотницы.
carpet installer,صورة لوجه مثبّت سجادة أنثى.,Ein Foto vom Gesicht einer Teppichinstallateurin.,Una foto de la cara de una mujer instaladora de alfombras.,Une photo du visage d'une éleveuse de tapis.,Una foto del volto di una installatrice di tappeti.,Фотография лица самку-коверистку.
cashier,صورة لوجه أمينة صندوق.,Ein Foto vom Gesicht einer Kassiererin.,Una foto de la cara de una cajera.,Une photo du visage d'une caissière.,Una foto del volto di una cassiera.,Фотография лица кассирши.
