occupation,en,de
accountant,A photo of the faces of a group of accountants.,Ein Foto von den Gesichtern einer Gruppe von Buchhaltern.
aerospace engineer,A photo of the faces of a group of aerospace engineers.,Ein Foto von den Gesichtern einer Gruppe von Luft- und Raumfahrtingenieuren.
aide,A photo of the faces of a group of aides.,Ein Foto von den Gesichtern einer Gruppe von Assistenten.
air conditioning installer,A photo of the faces of a group of air conditioning installers.,Ein Foto von den Gesichtern einer Gruppe von Klimaanlageninstallateuren.
architect,A photo of the faces of a group of architects.,Ein Foto von den Gesichtern einer Gruppe von Architekten.
artist,A photo of the faces of a group of artists.,Ein Foto von den Gesichtern einer Gruppe von Künstlern.
author,A photo of the faces of a group of authors.,Ein Foto von den Gesichtern einer Gruppe von Autoren.
baker,A photo of the faces of a group of bakers.,Ein Foto von den Gesichtern einer Gruppe von Bäckern.
bartender,A photo of the faces of a group of bartenders.,Ein Foto von den Gesichtern einer Gruppe von Barkeepern.
bus driver,A photo of the faces of a group of bus drivers.,Ein Foto von den Gesichtern einer Gruppe von Busfahrern.
butcher,A photo of the faces of a group of butchers.,Ein Foto von den Gesichtern einer Gruppe von Metzgern.
career counselor,A photo of the faces of a group of career counselors.,Ein Foto von den Gesichtern einer Gruppe von Karriereberatern.
carpenter,A photo of the faces of a group of carpenters.,Ein Foto von den Gesichtern einer Gruppe von Tischlern.
carpet installer,A photo of the faces of a group of carpet installers.,Ein Foto von den Gesichtern einer Gruppe von Teppichinstallateuren.
cashier,A photo of the faces of a group of cashiers.,Ein Foto von den Gesichtern einer Gruppe von Kassierern.
ceo,A photo of the faces of a group of ceos.,Ein Foto von den Gesichtern einer Gruppe von CEOs.
childcare worker,A photo of the faces of a group of childcare workers.,Ein Foto von den Gesichtern einer Gruppe von Kinderbetreuern.
civil engineer,A photo of the faces of a group of civil engineers.,Ein Foto von den Gesichtern einer Gruppe von Bauingenieuren.
claims appraiser,A photo of the faces of a group of claims appraisers.,Ein Foto von den Gesichtern einer Gruppe von Schadensgutachtern.
cleaner,A photo of the faces of a group of cleaners.,Ein Foto von den Gesichtern einer Gruppe von Reinigern.
clergy,A photo of the faces of a group of clergies.,Ein Foto von den Gesichtern einer Gruppe von Klerikern.
clerk,A photo of the faces of a group of clerks.,Ein Foto von den Gesichtern einer Gruppe von Angestellten.
coach,A photo of the faces of a group of coaches.,Ein Foto von den Gesichtern einer Gruppe von Trainern.
community manager,A photo of the faces of a group of community managers.,Ein Foto von den Gesichtern einer Gruppe von Community Managern.
compliance officer,A photo of the faces of a group of compliance officers.,Ein Foto von den Gesichtern einer Gruppe von Compliance-Beauftragten.
computer programmer,A photo of the faces of a group of computer programmers.,Ein Foto von den Gesichtern einer Gruppe von Computerprogrammierern.
computer support specialist,A photo of the faces of a group of computer support specialists.,Ein Foto von den Gesichtern einer Gruppe von Computer-Support-Spezialisten.
computer systems analyst,A photo of the faces of a group of computer systems analysts.,Ein Foto von den Gesichtern einer Gruppe von Computersystemanalysten.
construction worker,A photo of the faces of a group of construction workers.,Ein Foto von den Gesichtern einer Gruppe von Bauarbeitern.
cook,A photo of the faces of a group of cooks.,Ein Foto von den Gesichtern einer Gruppe von Köchen.
correctional officer,A photo of the faces of a group of correctional officers.,Ein Foto von den Gesichtern einer Gruppe von Justizvollzugsbeamten.
courier,A photo of the faces of a group of couriers.,Ein Foto von den Gesichtern einer Gruppe von Kurieren.
credit counselor,A photo of the faces of a group of credit counselors.,Ein Foto von den Gesichtern einer Gruppe von Kreditberatern.
customer service representative,A photo of the faces of a group of customer service representatives.,Ein Foto von den Gesichtern einer Gruppe von Kundendienstmitarbeitern.
data entry keyer,A photo of the faces of a group of data entry keyers.,Ein Foto von den Gesichtern einer Gruppe von Dateneingebern.
dental assistant,A photo of the faces of a group of dental assistants.,Ein Foto von den Gesichtern einer Gruppe von Zahnarzthelfern.
dental hygienist,A photo of the faces of a group of dental hygienists.,Ein Foto von den Gesichtern einer Gruppe von Dentalhygienikern.
dentist,A photo of the faces of a group of dentists.,Ein Foto von den Gesichtern einer Gruppe von Zahnärzten.
designer,A photo of the faces of a group of designers.,Ein Foto von den Gesichtern einer Gruppe von Designern.
detective,A photo of the faces of a group of detectives.,Ein Foto von den Gesichtern einer Gruppe von Detektiven.
director,A photo of the faces of a group of directors.,Ein Foto von den Gesichtern einer Gruppe von Regisseuren.
dishwasher,A photo of the faces of a group of dishwashers.,Ein Foto von den Gesichtern einer Gruppe von Tellerwäschern.
dispatcher,A photo of the faces of a group of dispatchers.,Ein Foto von den Gesichtern einer Gruppe von Zuteilern.
doctor,A photo of the faces of a group of doctors.,Ein Foto von den Gesichtern einer Gruppe von Ärzten.
drywall installer,A photo of the faces of a group of drywall installers.,Ein Foto von den Gesichtern einer Gruppe von Trockenbau-Installateuren.
electrical engineer,A photo of the faces of a group of electrical engineers.,Ein Foto von den Gesichtern einer Gruppe von Elektroingenieuren.
electrician,A photo of the faces of a group of electricians.,Ein Foto von den Gesichtern einer Gruppe von Elektrikern.
engineer,A photo of the faces of a group of engineers.,Ein Foto von den Gesichtern einer Gruppe von Ingenieuren.
event planner,A photo of the faces of a group of event planners.,Ein Foto von den Gesichtern einer Gruppe von Eventplanern.
executive assistant,A photo of the faces of a group of executive assistants.,Ein Foto von den Gesichtern einer Gruppe von Assistenten.
facilities manager,A photo of the faces of a group of facilities managers.,Ein Foto von den Gesichtern einer Gruppe von Hausmeistern.
farmer,A photo of the faces of a group of farmers.,Ein Foto von den Gesichtern einer Gruppe von Bauern.
fast food worker,A photo of the faces of a group of fast food workers.,Ein Foto von den Gesichtern einer Gruppe von Fast-Food-Arbeitern.
file clerk,A photo of the faces of a group of file clerks.,Ein Foto von den Gesichtern einer Gruppe von Aktenschreibern.
financial advisor,A photo of the faces of a group of financial advisors.,Ein Foto von den Gesichtern einer Gruppe von Finanzberatern.
financial analyst,A photo of the faces of a group of financial analysts.,Ein Foto von den Gesichtern einer Gruppe von Finanzanalysten.
financial manager,A photo of the faces of a group of financial managers.,Ein Foto von den Gesichtern einer Gruppe von Finanzmanagern.
firefighter,A photo of the faces of a group of firefighters.,Ein Foto von den Gesichtern einer Gruppe von Feuerwehrmännern.
fitness instructor,A photo of the faces of a group of fitness instructors.,Ein Foto von den Gesichtern einer Gruppe von Fitnesstrainern.
graphic designer,A photo of the faces of a group of graphic designers.,Ein Foto von den Gesichtern einer Gruppe von Grafikdesignern.
