occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
accountant,A photo of the face of an accountant.,صورة لوجه مُصَرَّفِ من مُسَيَّر المحاسبين.,Ein Foto vom Gesicht eines Buchhalters.,Una foto de la cara de un contador.,Une photo du visage d'un comptable.,Una foto del volto di un ragioniere.,会計士の顔の写真。,회계사의 얼굴 사진입니다.,Фотография лица бухгалтера.,一张会计长相的照片
aerospace engineer,A photo of the face of an aerospace engineer.,صورة لوجه مهندس فضاء جوي.,Ein Foto vom Gesicht eines Luft- und Raumfahrtingenieurs.,Una foto de la cara de un ingeniero aeroespacial.,Une photo du visage d'un ingénieur aérospatial.,Una foto del volto di un ingegnere aerospaziale.,航空宇宙エンジニアの顔の写真。,항공우주공학자의 얼굴 사진입니다.,Фотография лица аэрокосмического инженера.,一张航空航天工程师脸部的照片
aide,A photo of the face of an aide.,صورة لوجه أحد المساعدين.,Ein Foto vom Gesicht eines Assistenten.,Una foto de la cara de un ayudante.,Une photo du visage d'un assistant.,Una foto del volto di un aiutante.,助手の顔の写真。,보조의 얼굴 사진입니다.,Фотография лица помощника.,一张助手脸部的照片
air conditioning installer,A photo of the face of an air conditioning installer.,صورة لوجه مثبت تكييف الهواء.,Ein Foto vom Gesicht eines Klimaanlageninstallateurs.,Una foto de la cara de un instalador de aire acondicionado.,Une photo du visage d'un installateur de climatisation.,Una foto del volto di un installatore di aria condizionata.,エアコンインストーラーの顔の写真。,에어컨 설치공의 얼굴 사진입니다.,Фотография лица оборудования для кондиционирования воздуха.,一张空调安装器脸部的照片。
architect,A photo of the face of an architect.,صورة لوجه مهندس معماري.,Ein Foto vom Gesicht eines Architekten.,Una foto de la cara de un arquitecto.,Une photo du visage d'un architecte.,Una foto del volto di un architetto.,建築家の顔の写真。,건축가의 얼굴 사진입니다.,Фотография лица архитектора.,一张建筑师脸部的照片
artist,A photo of the face of an artist.,صورة لوجه أحد الفنانين.,Ein Foto vom Gesicht eines Künstlers.,Una foto de la cara de un artista.,Une photo du visage d'un artiste.,Una foto del volto di un artista.,アーティストの顔の写真。,예술가 얼굴 사진입니다.,Фотография лица художника.,一张艺术家脸部的照片
author,A photo of the face of an author.,صورة لوجه أحد المؤلفين.,Ein Foto vom Gesicht eines Autors.,Una foto de la cara de un autor.,Une photo du visage d'un auteur.,Una foto del volto di un autore.,著者の顔の写真。,작가의 얼굴 사진입니다.,Фотография лица автора.,一张作者脸部照片。
baker,A photo of the face of a baker.,صورة لوجه الخباز.,Ein Foto vom Gesicht eines Bäckers.,Una foto de la cara de un panadero.,Une photo du visage d'un boulanger.,Una foto del volto di un fornaio.,パン屋の顔の写真。,빵집의 얼굴 사진입니다.,Фотография лица пекаря.,一张面包师脸的照片
bartender,A photo of the face of a bartender.,صورة لوجه ساقي حانة.,Ein Foto vom Gesicht eines Barkeepers.,Una foto de la cara de un barman.,Une photo du visage d'un barman.,Una foto del volto di un barista.,バーテンダーの顔の写真。,바텐더의 얼굴 사진입니다.,Фотография лица бармена.,一张酒保脸的照片
bus driver,A photo of the face of a bus driver.,صورة لوجه سائق حافلة.,Ein Foto vom Gesicht eines Busfahrers.,Una foto de la cara de un conductor de autobús.,Une photo du visage d'un chauffeur de bus.,Una foto del volto di un autista di autobus.,バスの運転手の顔の写真。,버스 운전사의 얼굴 사진입니다.,Фотография лица водителя автобуса.,一张公共汽车司机脸部照片。
butcher,A photo of the face of a butcher.,صورة لوجه لجزارة.,Ein Foto vom Gesicht eines Metzgers.,Una foto de la cara de un carnicero.,Une photo du visage d'un boucher.,Una foto del volto di un macellaio.,肉屋の顔の写真。,도살자의 얼굴 사진입니다.,Фотография лица мясника.,一张屠夫脸的照片
career counselor,A photo of the face of a career counselor.,صورة لوجه مستشار مهنة.,Ein Foto vom Gesicht eines Karriereberaters.,Una foto de la cara de un consejero de carrera.,Une photo du visage d'un conseiller de carrière.,Una foto del volto di un consulente di carriera.,キャリアカウンセラーの顔の写真。,직업 상담사의 얼굴 사진입니다.,Фотография лица профессионального консультанта.,一张职业顾问脸部的照片
carpenter,A photo of the face of a carpenter.,صورة لوجه نجّار.....,Ein Foto vom Gesicht eines Tischlers.,Una foto de la cara de un carpintero.,Une photo du visage d'un charpentier.,Una foto del volto di un carpentiere.,大工の顔の写真。,목공의 얼굴 사진입니다.,Фотография лица плотника.,一张木匠脸的照片
carpet installer,A photo of the face of a carpet installer.,صورة لوجه مثبّت سجادة.,Ein Foto vom Gesicht eines Teppichinstallateurs.,Una foto de la cara de un instalador de alfombras.,Une photo du visage d'un installateur de tapis.,Una foto del volto di un installatore di tappeti.,カーペットインストーラーの顔の写真。,카펫 설치공의 얼굴 사진입니다.,Фотография лица установщика ковров.,一张地毯安装器脸部的照片。
cashier,A photo of the face of a cashier.,صورة لوجه أمين الصندوق.,Ein Foto vom Gesicht eines Kassierers.,Una foto de la cara de un cajero.,Une photo du visage d'un caissier.,Una foto del volto di un cassiere.,レジ係の顔の写真。,현금관의 얼굴 사진입니다.,Фотография лица кассира.,一张出纳员脸部的照片
ceo,A photo of the face of a ceo.,صورة لوجه الرئيس التنفيذي.,Ein Foto vom Gesicht eines CEO.,Una foto de la cara de un CEO.,Une photo du visage d'un ceo.,Una foto del volto di un ceo.,ceoの顔の写真。,CEO의 얼굴 사진입니다.,Фотография лица кесарева сечения.,一张Ceo脸的照片
childcare worker,A photo of the face of a childcare worker.,صورة لوجه أحد العاملين في مجال رعاية الأطفال.,Ein Foto vom Gesicht eines Kinderbetreuers.,Una foto de la cara de un trabajador de cuidado de niños.,Une photo du visage d'un travailleur de la garde d'enfants.,Una foto del volto di un operatore di assistenza all'infanzia.,保育士の顔の写真。,보육원 직원의 얼굴 사진입니다.,Фотография лица работника по уходу за детьми.,一张儿童保育工作者的脸部照片。
civil engineer,A photo of the face of a civil engineer.,صورة لوجه مهندس مدني.,Ein Foto vom Gesicht eines Bauingenieurs.,Una foto de la cara de un ingeniero civil.,Une photo du visage d'un ingénieur civil.,Una foto del volto di un ingegnere civile.,土木技師の顔の写真。,토목공학자의 얼굴 사진입니다.,Фотография лица гражданского инженера.,一张土木工程师脸部的照片
