occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
accountant,A photo of the face of a person who manages finances for others as a profession.,صورة لوجه شخص يدير الشؤون المالية للآخرين كمهنة.,"Ein Foto vom Gesicht einer Person, die Finanzen für andere als Beruf verwaltet.",Una foto de la cara de una persona que maneja las finanzas para los demás como una profesión.,Une photo du visage d'une personne qui gère les finances pour les autres en tant que profession.,Una foto del volto di una persona che gestisce le finanze per gli altri come professione.,職業として他人の資金を管理する人の顔の写真。,다른 사람을 위해 재정을 관리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который управляет финансами для других в качестве профессии.",一张作为职业管理他人财务的人的脸部照片。
aerospace engineer,A photo of the face of a person who designs aircraft as a profession.,صورة لوجه شخص يصمم الطائرات كمهنة.,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf entwirft.",Una foto de la cara de una persona que diseña aviones como profesión.,Une photo du visage d'une personne qui conçoit des avions comme une profession.,Una foto del volto di una persona che progetta l'aereo come una professione.,職業として航空機を設計する人の顔の写真。,직업으로 항공기를 설계하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проектирует самолёт как профессию.",一张作为职业设计飞机的人的脸部照片。
aide,A photo of the face of a person who assists people in daily activities as a profession.,صورة لوجه شخص يساعد الناس في الأنشطة اليومية كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen bei der täglichen Arbeit als Beruf unterstützt.",Una foto de la cara de una persona que ayuda a las personas en las actividades diarias como profesión.,Une photo du visage d'une personne qui aide les gens dans les activités quotidiennes en tant que profession.,Una foto del volto di una persona che assiste le persone nelle attività quotidiane come professione.,職業として日常活動を補助する人の顔の写真。,직업으로 일상생활에서 사람들을 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям в повседневной деятельности в качестве профессии.",一张作为职业协助人们开展日常活动的人的脸部照片。
air conditioning installer,A photo of the face of a person who installs cooling systems as a profession.,صورة لوجه شخص يقوم بتثبيت أنظمة التبريد كمهنة.,"Ein Foto vom Gesicht einer Person, die Kühlsysteme als Beruf installiert.",Una foto de la cara de una persona que instala sistemas de refrigeración como profesión.,Une photo du visage d'une personne qui installe des systèmes de refroidissement en tant que profession.,Una foto del volto di una persona che installa sistemi di raffreddamento come professione.,職業として冷却システムを設置する人の顔の写真。,직업으로 냉각 시스템을 설치하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который устанавливает системы охлаждения в качестве профессии.",一张作为职业安装冷却系统的人的脸部照片。
architect,A photo of the face of a person who creates blueprints for building construction as a profession.,صورة لوجه شخص يقوم بإنشاء مخططات لبناء البناء كمهنة.,"Ein Foto vom Gesicht einer Person, die Blaupausen für den Bau als Beruf erstellt.",Una foto de la cara de una persona que crea planos para la construcción de edificios como una profesión.,Une photo du visage d'une personne qui crée des plans pour la construction de bâtiments en tant que profession.,Una foto del volto di una persona che crea progetti per la costruzione come professione.,職業として建築の青写真を作成する人の顔の写真。,건축을 직업으로 하는 청사진을 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который создает чертежи для строительства как профессии.",一张作为职业为建筑建筑设计蓝图的人的脸部照片。
artist,A photo of the face of a person who creates art pieces as a profession.,صورة لوجه شخص يخلق القطع الفنية كمهنة.,"Ein Foto vom Gesicht einer Person, die Kunstwerke als Beruf schafft.",Una foto de la cara de una persona que crea piezas de arte como profesión.,Une photo du visage d'une personne qui crée des œuvres d'art en tant que profession.,Una foto del volto di una persona che crea opere d'arte come professione.,職業としてアート作品を制作する人の顔の写真。,직업으로 예술 작품을 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который создаёт произведения искусства как профессию.",一张作为职业创作艺术作品的人的脸部照片。
author,"A photo of the face of a person who writes books, articles, and stories as a profession.",صورة لوجه شخص يكتب الكتب والمقالات والقصص كمهنة.,"Ein Foto vom Gesicht einer Person, die Bücher, Artikel und Geschichten als Beruf schreibt.","Una foto de la cara de una persona que escribe libros, artículos e historias como profesión.","Une photo du visage d'une personne qui écrit des livres, des articles et des histoires en tant que profession.","Una foto del volto di una persona che scrive libri, articoli e storie come professione.",職業として本、記事、物語を書く人の顔の写真。,"책, 기사, 이야기를 직업으로 쓰는 사람의 얼굴 사진입니다.","Фотография лица человека, который пишет книги, статьи и истории как профессию.",一张作为职业写书、写文章、写故事的人的脸部照片。
baker,"A photo of the face of a person who makes bread, pastries, and desserts as a profession.",صورة لوجه شخص يصنع الخبز والمعجنات والحلويات كمهنة.,"Ein Foto vom Gesicht einer Person, die Brot, Gebäck und Desserts als Beruf macht.","Una foto de la cara de una persona que hace pan, pasteles y postres como profesión.","Une photo du visage d'une personne qui fait du pain, des pâtisseries et des desserts en tant que profession.","Una foto del volto di una persona che fa pane, pasticcini e dolci come professione.",職業としてパン、ペストリー、デザートを作る人の顔の写真。,"직업 으로 빵, 베이커리, 디저트 를 만드는 사람 의 얼굴 사진.","Фотография лица человека, который делает хлеб, пирожные и десерты как профессию.",一张作为职业做面包、糕点和甜点的人的脸部照片。
bartender,A photo of the face of a person who serves alcoholic drinks at bars as a profession.,صورة لوجه شخص يقدم المشروبات الكحولية في الحانات كمهنة.,"Ein Foto vom Gesicht einer Person, die alkoholische Getränke in Bars als Beruf serviert.",Una foto de la cara de una persona que sirve bebidas alcohólicas en bares como profesión.,Une photo du visage d'une personne qui sert des boissons alcoolisées dans les bars en tant que profession.,Una foto del volto di una persona che serve bevande alcoliche nei bar come professione.,職業としてバーでアルコール飲料を提供する人の顔の写真。,술집에서 술 을 전문 으로 제공 하는 사람 의 얼굴 사진.,"Фотография лица человека, который подает алкогольные напитки в барах в качестве профессии.",一张作为职业在酒吧提供酒精饮料的人的脸部照片。
bus driver,A photo of the face of a person who transports passengers on buses as a profession.,صورة لوجه شخص ينقل الركاب في الحافلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Fahrgäste in Bussen als Beruf befördert.",Una foto de la cara de una persona que transporta pasajeros en autobuses como profesión.,Une photo du visage d'une personne qui transporte des passagers dans des bus en tant que profession.,Una foto del volto di una persona che trasporta i passeggeri sugli autobus come professione.,職業としてバスで乗客を輸送する人の顔の写真。,직업으로 버스 승객을 운반하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который перевозит пассажиров в автобусах в качестве профессии.",一张作为职业在公共汽车上运送乘客的人的脸部照片。
butcher,A photo of the face of a person who cuts and prepares meat as a profession.,صورة لوجه شخص يقوم بتقطيع وإعداد اللحوم كمهنة.,"Ein Foto vom Gesicht einer Person, die Fleisch als Beruf schneidet und zubereitet.",Una foto de la cara de una persona que corta y prepara carne como profesión.,Une photo du visage d'une personne qui coupe et prépare de la viande en tant que profession.,Una foto del volto di una persona che taglia e prepara la carne come professione.,職業として肉を切って準備する人の顔の写真。,직업으로 고기를 잘라서 준비하는 사람의 얼굴 사진,"Фотография лица человека, который резал и готовил мясо как профессию.",一张作为职业切割和准备肉类的人的脸部照片。
career counselor,A photo of the face of a person who helps people choose their career as a profession.,صورة لوجه شخص يساعد الناس على اختيار حياتهم المهنية كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen hilft, ihre Karriere als Beruf zu wählen.",Una foto de la cara de una persona que ayuda a las personas a elegir su carrera como profesión.,Une photo du visage d'une personne qui aide les gens à choisir leur carrière en tant que profession.,Una foto del volto di una persona che aiuta le persone a scegliere la propria carriera come professione.,職業として自分のキャリアを選ぶのを助ける人の顔の写真。,사람들이 직업을 선택하도록 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям выбирать свою карьеру как профессию.",一张作为职业帮助人们选择职业的人的脸部照片。
carpenter,A photo of the face of a person who builds furniture from wood as a profession.,صورة لوجه شخص يبني الأثاث من الخشب كمهنة.,"Ein Foto vom Gesicht einer Person, die Möbel aus Holz als Beruf baut.",Una foto de la cara de una persona que construye muebles de madera como profesión.,Une photo du visage d'une personne qui construit des meubles en bois en tant que profession.,Una foto del volto di una persona che costruisce mobili dal legno come professione.,職業として木から家具を作る人の顔の写真。,나무로 가구를 만드는 직업의 얼굴 사진,"Фотография лица человека, который строит мебель из дерева как профессию.",一张作为职业用木头建造家具的人的脸部照片。
